Natural Disaster,Number of Deaths,Entity,Code,Year
Drought,0,Afghanistan,AFG,01/01/1900
Dry mass movement,0,Afghanistan,AFG,01/01/1900
Earthquake,0,Afghanistan,AFG,01/01/1900
Extreme temperature,0,Afghanistan,AFG,01/01/1900
Extreme weather,0,Afghanistan,AFG,01/01/1900
Flood,0,Afghanistan,AFG,01/01/1900
Fog,0,Afghanistan,AFG,01/01/1900
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1900
Volcanic activity,0,Afghanistan,AFG,01/01/1900
Wet mass movement,0,Afghanistan,AFG,01/01/1900
Wildfire,0,Afghanistan,AFG,01/01/1900
Drought,0,Afghanistan,AFG,01/01/1910
Dry mass movement,0,Afghanistan,AFG,01/01/1910
Earthquake,0,Afghanistan,AFG,01/01/1910
Extreme temperature,0,Afghanistan,AFG,01/01/1910
Extreme weather,0,Afghanistan,AFG,01/01/1910
Flood,0,Afghanistan,AFG,01/01/1910
Fog,0,Afghanistan,AFG,01/01/1910
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1910
Volcanic activity,0,Afghanistan,AFG,01/01/1910
Wet mass movement,0,Afghanistan,AFG,01/01/1910
Wildfire,0,Afghanistan,AFG,01/01/1910
Drought,0,Afghanistan,AFG,01/01/1920
Dry mass movement,0,Afghanistan,AFG,01/01/1920
Earthquake,0,Afghanistan,AFG,01/01/1920
Extreme temperature,0,Afghanistan,AFG,01/01/1920
Extreme weather,0,Afghanistan,AFG,01/01/1920
Flood,0,Afghanistan,AFG,01/01/1920
Fog,0,Afghanistan,AFG,01/01/1920
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1920
Volcanic activity,0,Afghanistan,AFG,01/01/1920
Wet mass movement,0,Afghanistan,AFG,01/01/1920
Wildfire,0,Afghanistan,AFG,01/01/1920
Drought,0,Afghanistan,AFG,01/01/1930
Dry mass movement,0,Afghanistan,AFG,01/01/1930
Earthquake,0,Afghanistan,AFG,01/01/1930
Extreme temperature,0,Afghanistan,AFG,01/01/1930
Extreme weather,0,Afghanistan,AFG,01/01/1930
Flood,0,Afghanistan,AFG,01/01/1930
Fog,0,Afghanistan,AFG,01/01/1930
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1930
Volcanic activity,0,Afghanistan,AFG,01/01/1930
Wet mass movement,0,Afghanistan,AFG,01/01/1930
Wildfire,0,Afghanistan,AFG,01/01/1930
Drought,0,Afghanistan,AFG,01/01/1940
Dry mass movement,0,Afghanistan,AFG,01/01/1940
Earthquake,0,Afghanistan,AFG,01/01/1940
Extreme temperature,0,Afghanistan,AFG,01/01/1940
Extreme weather,0,Afghanistan,AFG,01/01/1940
Flood,0,Afghanistan,AFG,01/01/1940
Fog,0,Afghanistan,AFG,01/01/1940
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1940
Volcanic activity,0,Afghanistan,AFG,01/01/1940
Wet mass movement,0,Afghanistan,AFG,01/01/1940
Wildfire,0,Afghanistan,AFG,01/01/1940
Drought,0,Afghanistan,AFG,01/01/1950
Dry mass movement,0,Afghanistan,AFG,01/01/1950
Earthquake,210,Afghanistan,AFG,01/01/1950
Extreme temperature,0,Afghanistan,AFG,01/01/1950
Extreme weather,0,Afghanistan,AFG,01/01/1950
Flood,5.1,Afghanistan,AFG,01/01/1950
Fog,0,Afghanistan,AFG,01/01/1950
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1950
Volcanic activity,0,Afghanistan,AFG,01/01/1950
Wet mass movement,0,Afghanistan,AFG,01/01/1950
Wildfire,0,Afghanistan,AFG,01/01/1950
Drought,0,Afghanistan,AFG,01/01/1960
Dry mass movement,0,Afghanistan,AFG,01/01/1960
Earthquake,0,Afghanistan,AFG,01/01/1960
Extreme temperature,0,Afghanistan,AFG,01/01/1960
Extreme weather,0,Afghanistan,AFG,01/01/1960
Flood,10.7,Afghanistan,AFG,01/01/1960
Fog,0,Afghanistan,AFG,01/01/1960
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1960
Volcanic activity,0,Afghanistan,AFG,01/01/1960
Wet mass movement,0,Afghanistan,AFG,01/01/1960
Wildfire,0,Afghanistan,AFG,01/01/1960
Drought,0,Afghanistan,AFG,01/01/1970
Dry mass movement,0,Afghanistan,AFG,01/01/1970
Earthquake,6.1,Afghanistan,AFG,01/01/1970
Extreme temperature,0,Afghanistan,AFG,01/01/1970
Extreme weather,0,Afghanistan,AFG,01/01/1970
Flood,32.1,Afghanistan,AFG,01/01/1970
Fog,0,Afghanistan,AFG,01/01/1970
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1970
Volcanic activity,0,Afghanistan,AFG,01/01/1970
Wet mass movement,10,Afghanistan,AFG,01/01/1970
Wildfire,0,Afghanistan,AFG,01/01/1970
Drought,0,Afghanistan,AFG,01/01/1980
Dry mass movement,0,Afghanistan,AFG,01/01/1980
Earthquake,51.3,Afghanistan,AFG,01/01/1980
Extreme temperature,0,Afghanistan,AFG,01/01/1980
Extreme weather,0,Afghanistan,AFG,01/01/1980
Flood,0,Afghanistan,AFG,01/01/1980
Fog,0,Afghanistan,AFG,01/01/1980
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1980
Volcanic activity,0,Afghanistan,AFG,01/01/1980
Wet mass movement,7,Afghanistan,AFG,01/01/1980
Wildfire,0,Afghanistan,AFG,01/01/1980
Drought,0,Afghanistan,AFG,01/01/1990
Dry mass movement,0,Afghanistan,AFG,01/01/1990
Earthquake,742.6,Afghanistan,AFG,01/01/1990
Extreme temperature,22.4,Afghanistan,AFG,01/01/1990
Extreme weather,1,Afghanistan,AFG,01/01/1990
Flood,199,Afghanistan,AFG,01/01/1990
Fog,0,Afghanistan,AFG,01/01/1990
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1990
Volcanic activity,0,Afghanistan,AFG,01/01/1990
Wet mass movement,73.9,Afghanistan,AFG,01/01/1990
Wildfire,0,Afghanistan,AFG,01/01/1990
Drought,3.7,Afghanistan,AFG,01/01/2000
Dry mass movement,0,Afghanistan,AFG,01/01/2000
Earthquake,123.6,Afghanistan,AFG,01/01/2000
Extreme temperature,166.5,Afghanistan,AFG,01/01/2000
Extreme weather,33.1,Afghanistan,AFG,01/01/2000
Flood,116.3,Afghanistan,AFG,01/01/2000
Fog,0,Afghanistan,AFG,01/01/2000
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/2000
Volcanic activity,0,Afghanistan,AFG,01/01/2000
Wet mass movement,4.3,Afghanistan,AFG,01/01/2000
Wildfire,0,Afghanistan,AFG,01/01/2000
Drought,0,Afghanistan,AFG,01/01/2010
Dry mass movement,0,Afghanistan,AFG,01/01/2010
Earthquake,21.7,Afghanistan,AFG,01/01/2010
Extreme temperature,4.5,Afghanistan,AFG,01/01/2010
Extreme weather,15.1,Afghanistan,AFG,01/01/2010
Flood,137,Afghanistan,AFG,01/01/2010
Fog,0,Afghanistan,AFG,01/01/2010
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/2010
Volcanic activity,0,Afghanistan,AFG,01/01/2010
Wet mass movement,83.8,Afghanistan,AFG,01/01/2010
Wildfire,0,Afghanistan,AFG,01/01/2010
Drought,0,Afghanistan,AFG,01/01/2020
Dry mass movement,0,Afghanistan,AFG,01/01/2020
Earthquake,703,Afghanistan,AFG,01/01/2020
Extreme temperature,40.2,Afghanistan,AFG,01/01/2020
Extreme weather,2.6,Afghanistan,AFG,01/01/2020
Flood,206.4,Afghanistan,AFG,01/01/2020
Fog,0,Afghanistan,AFG,01/01/2020
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/2020
Volcanic activity,0,Afghanistan,AFG,01/01/2020
Wet mass movement,17.2,Afghanistan,AFG,01/01/2020
Wildfire,0,Afghanistan,AFG,01/01/2020
Drought,1100,Africa,,01/01/1900
Dry mass movement,0,Africa,,01/01/1900
Earthquake,10,Africa,,01/01/1900
Extreme temperature,0,Africa,,01/01/1900
Extreme weather,0,Africa,,01/01/1900
Flood,0,Africa,,01/01/1900
Fog,0,Africa,,01/01/1900
Glacial lake outburst flood,0,Africa,,01/01/1900
Volcanic activity,1.7,Africa,,01/01/1900
Wet mass movement,0,Africa,,01/01/1900
Wildfire,0,Africa,,01/01/1900
Drought,8500,Africa,,01/01/1910
Dry mass movement,0,Africa,,01/01/1910
Earthquake,1.2,Africa,,01/01/1910
Extreme temperature,0,Africa,,01/01/1910
Extreme weather,0,Africa,,01/01/1910
Flood,0,Africa,,01/01/1910
Fog,0,Africa,,01/01/1910
Glacial lake outburst flood,0,Africa,,01/01/1910
Volcanic activity,0,Africa,,01/01/1910
Wet mass movement,0,Africa,,01/01/1910
Wildfire,0,Africa,,01/01/1910
Drought,2400,Africa,,01/01/1920
Dry mass movement,0,Africa,,01/01/1920
Earthquake,1.2,Africa,,01/01/1920
Extreme temperature,0,Africa,,01/01/1920
Extreme weather,0,Africa,,01/01/1920
Flood,300,Africa,,01/01/1920
Fog,0,Africa,,01/01/1920
Glacial lake outburst flood,0,Africa,,01/01/1920
Volcanic activity,0,Africa,,01/01/1920
Wet mass movement,0,Africa,,01/01/1920
Wildfire,0,Africa,,01/01/1920
Drought,0,Africa,,01/01/1930
Dry mass movement,0,Africa,,01/01/1930
Earthquake,2.2,Africa,,01/01/1930
Extreme temperature,0,Africa,,01/01/1930
Extreme weather,0,Africa,,01/01/1930
Flood,0,Africa,,01/01/1930
Fog,0,Africa,,01/01/1930
Glacial lake outburst flood,0,Africa,,01/01/1930
Volcanic activity,0,Africa,,01/01/1930
Wet mass movement,0,Africa,,01/01/1930
Wildfire,0,Africa,,01/01/1930
Drought,5000,Africa,,01/01/1940
Dry mass movement,0,Africa,,01/01/1940
Earthquake,27.6,Africa,,01/01/1940
Extreme temperature,0,Africa,,01/01/1940
Extreme weather,16.5,Africa,,01/01/1940
Flood,0,Africa,,01/01/1940
Fog,0,Africa,,01/01/1940
Glacial lake outburst flood,0,Africa,,01/01/1940
Volcanic activity,0,Africa,,01/01/1940
Wet mass movement,0,Africa,,01/01/1940
Wildfire,0,Africa,,01/01/1940
Drought,0,Africa,,01/01/1950
Dry mass movement,0,Africa,,01/01/1950
Earthquake,128.3,Africa,,01/01/1950
Extreme temperature,0,Africa,,01/01/1950
Extreme weather,64.2,Africa,,01/01/1950
Flood,23.7,Africa,,01/01/1950
Fog,0,Africa,,01/01/1950
Glacial lake outburst flood,0,Africa,,01/01/1950
Volcanic activity,0,Africa,,01/01/1950
Wet mass movement,0,Africa,,01/01/1950
Wildfire,0,Africa,,01/01/1950
Drought,205,Africa,,01/01/1960
Dry mass movement,0,Africa,,01/01/1960
Earthquake,1367.7,Africa,,01/01/1960
Extreme temperature,0,Africa,,01/01/1960
Extreme weather,15.2,Africa,,01/01/1960
Flood,134.3,Africa,,01/01/1960
Fog,0,Africa,,01/01/1960
Glacial lake outburst flood,0,Africa,,01/01/1960
Volcanic activity,0,Africa,,01/01/1960
Wet mass movement,30.8,Africa,,01/01/1960
Wildfire,0,Africa,,01/01/1960
Drought,11900,Africa,,01/01/1970
Dry mass movement,0,Africa,,01/01/1970
Earthquake,0,Africa,,01/01/1970
Extreme temperature,0,Africa,,01/01/1970
Extreme weather,41.5,Africa,,01/01/1970
Flood,132.8,Africa,,01/01/1970
Fog,0,Africa,,01/01/1970
Glacial lake outburst flood,0,Africa,,01/01/1970
Volcanic activity,21.2,Africa,,01/01/1970
Wet mass movement,0,Africa,,01/01/1970
Wildfire,0.2,Africa,,01/01/1970
Drought,55482.7,Africa,,01/01/1980
Dry mass movement,7.7,Africa,,01/01/1980
Earthquake,313.8,Africa,,01/01/1980
Extreme temperature,0,Africa,,01/01/1980
Extreme weather,108,Africa,,01/01/1980
Flood,165,Africa,,01/01/1980
Fog,0,Africa,,01/01/1980
Glacial lake outburst flood,0,Africa,,01/01/1980
Volcanic activity,178.3,Africa,,01/01/1980
Wet mass movement,1.1,Africa,,01/01/1980
Wildfire,0.4,Africa,,01/01/1980
Drought,16,Africa,,01/01/1990
Dry mass movement,4.7,Africa,,01/01/1990
Earthquake,79.9,Africa,,01/01/1990
Extreme temperature,10.2,Africa,,01/01/1990
Extreme weather,113,Africa,,01/01/1990
Flood,731.7,Africa,,01/01/1990
Fog,0,Africa,,01/01/1990
Glacial lake outburst flood,0,Africa,,01/01/1990
Volcanic activity,0,Africa,,01/01/1990
Wet mass movement,17.8,Africa,,01/01/1990
Wildfire,10.6,Africa,,01/01/1990
Drought,109.4,Africa,,01/01/2000
Dry mass movement,9.8,Africa,,01/01/2000
Earthquake,333.5,Africa,,01/01/2000
Extreme temperature,12.5,Africa,,01/01/2000
Extreme weather,127.3,Africa,,01/01/2000
Flood,791.3,Africa,,01/01/2000
Fog,0,Africa,,01/01/2000
Glacial lake outburst flood,0,Africa,,01/01/2000
Volcanic activity,20.6,Africa,,01/01/2000
Wet mass movement,20.2,Africa,,01/01/2000
Wildfire,15.4,Africa,,01/01/2000
Drought,2000,Africa,,01/01/2010
Dry mass movement,0,Africa,,01/01/2010
Earthquake,3.1,Africa,,01/01/2010
Extreme temperature,14.5,Africa,,01/01/2010
Extreme weather,291.6,Africa,,01/01/2010
Flood,724.3,Africa,,01/01/2010
Fog,0,Africa,,01/01/2010
Glacial lake outburst flood,0,Africa,,01/01/2010
Volcanic activity,0,Africa,,01/01/2010
Wet mass movement,242.5,Africa,,01/01/2010
Wildfire,7.1,Africa,,01/01/2010
Drought,493,Africa,,01/01/2020
Dry mass movement,0,Africa,,01/01/2020
Earthquake,589.2,Africa,,01/01/2020
Extreme temperature,0,Africa,,01/01/2020
Extreme weather,2879.4,Africa,,01/01/2020
Flood,1634.8,Africa,,01/01/2020
Fog,0,Africa,,01/01/2020
Glacial lake outburst flood,0,Africa,,01/01/2020
Volcanic activity,6.4,Africa,,01/01/2020
Wet mass movement,54,Africa,,01/01/2020
Wildfire,33.6,Africa,,01/01/2020
Drought,0,Albania,ALB,01/01/1900
Dry mass movement,0,Albania,ALB,01/01/1900
Earthquake,12,Albania,ALB,01/01/1900
Extreme temperature,0,Albania,ALB,01/01/1900
Extreme weather,0,Albania,ALB,01/01/1900
Flood,0,Albania,ALB,01/01/1900
Fog,0,Albania,ALB,01/01/1900
Glacial lake outburst flood,0,Albania,ALB,01/01/1900
Volcanic activity,0,Albania,ALB,01/01/1900
Wet mass movement,0,Albania,ALB,01/01/1900
Wildfire,0,Albania,ALB,01/01/1900
Drought,0,Albania,ALB,01/01/1910
Dry mass movement,0,Albania,ALB,01/01/1910
Earthquake,0,Albania,ALB,01/01/1910
Extreme temperature,0,Albania,ALB,01/01/1910
Extreme weather,0,Albania,ALB,01/01/1910
Flood,0,Albania,ALB,01/01/1910
Fog,0,Albania,ALB,01/01/1910
Glacial lake outburst flood,0,Albania,ALB,01/01/1910
Volcanic activity,0,Albania,ALB,01/01/1910
Wet mass movement,0,Albania,ALB,01/01/1910
Wildfire,0,Albania,ALB,01/01/1910
Drought,0,Albania,ALB,01/01/1920
Dry mass movement,0,Albania,ALB,01/01/1920
Earthquake,20,Albania,ALB,01/01/1920
Extreme temperature,0,Albania,ALB,01/01/1920
Extreme weather,0,Albania,ALB,01/01/1920
Flood,0,Albania,ALB,01/01/1920
Fog,0,Albania,ALB,01/01/1920
Glacial lake outburst flood,0,Albania,ALB,01/01/1920
Volcanic activity,0,Albania,ALB,01/01/1920
Wet mass movement,0,Albania,ALB,01/01/1920
Wildfire,0,Albania,ALB,01/01/1920
Drought,0,Albania,ALB,01/01/1930
Dry mass movement,0,Albania,ALB,01/01/1930
Earthquake,15,Albania,ALB,01/01/1930
Extreme temperature,0,Albania,ALB,01/01/1930
Extreme weather,0,Albania,ALB,01/01/1930
Flood,0,Albania,ALB,01/01/1930
Fog,0,Albania,ALB,01/01/1930
Glacial lake outburst flood,0,Albania,ALB,01/01/1930
Volcanic activity,0,Albania,ALB,01/01/1930
Wet mass movement,0,Albania,ALB,01/01/1930
Wildfire,0,Albania,ALB,01/01/1930
Drought,0,Albania,ALB,01/01/1940
Dry mass movement,0,Albania,ALB,01/01/1940
Earthquake,4.3,Albania,ALB,01/01/1940
Extreme temperature,0,Albania,ALB,01/01/1940
Extreme weather,0,Albania,ALB,01/01/1940
Flood,0,Albania,ALB,01/01/1940
Fog,0,Albania,ALB,01/01/1940
Glacial lake outburst flood,0,Albania,ALB,01/01/1940
Volcanic activity,0,Albania,ALB,01/01/1940
Wet mass movement,0,Albania,ALB,01/01/1940
Wildfire,0,Albania,ALB,01/01/1940
Drought,0,Albania,ALB,01/01/1950
Dry mass movement,0,Albania,ALB,01/01/1950
Earthquake,0,Albania,ALB,01/01/1950
Extreme temperature,0,Albania,ALB,01/01/1950
Extreme weather,0,Albania,ALB,01/01/1950
Flood,0,Albania,ALB,01/01/1950
Fog,0,Albania,ALB,01/01/1950
Glacial lake outburst flood,0,Albania,ALB,01/01/1950
Volcanic activity,0,Albania,ALB,01/01/1950
Wet mass movement,0,Albania,ALB,01/01/1950
Wildfire,0,Albania,ALB,01/01/1950
Drought,0,Albania,ALB,01/01/1960
Dry mass movement,0,Albania,ALB,01/01/1960
Earthquake,2.6,Albania,ALB,01/01/1960
Extreme temperature,0,Albania,ALB,01/01/1960
Extreme weather,0,Albania,ALB,01/01/1960
Flood,0,Albania,ALB,01/01/1960
Fog,0,Albania,ALB,01/01/1960
Glacial lake outburst flood,0,Albania,ALB,01/01/1960
Volcanic activity,0,Albania,ALB,01/01/1960
Wet mass movement,0,Albania,ALB,01/01/1960
Wildfire,0,Albania,ALB,01/01/1960
Drought,0,Albania,ALB,01/01/1970
Dry mass movement,0,Albania,ALB,01/01/1970
Earthquake,3.5,Albania,ALB,01/01/1970
Extreme temperature,0,Albania,ALB,01/01/1970
Extreme weather,0,Albania,ALB,01/01/1970
Flood,0,Albania,ALB,01/01/1970
Fog,0,Albania,ALB,01/01/1970
Glacial lake outburst flood,0,Albania,ALB,01/01/1970
Volcanic activity,0,Albania,ALB,01/01/1970
Wet mass movement,0,Albania,ALB,01/01/1970
Wildfire,0,Albania,ALB,01/01/1970
Drought,0,Albania,ALB,01/01/1980
Dry mass movement,0,Albania,ALB,01/01/1980
Earthquake,0.1,Albania,ALB,01/01/1980
Extreme temperature,6.8,Albania,ALB,01/01/1980
Extreme weather,0,Albania,ALB,01/01/1980
Flood,0,Albania,ALB,01/01/1980
Fog,0,Albania,ALB,01/01/1980
Glacial lake outburst flood,0,Albania,ALB,01/01/1980
Volcanic activity,0,Albania,ALB,01/01/1980
Wet mass movement,5.7,Albania,ALB,01/01/1980
Wildfire,0,Albania,ALB,01/01/1980
Drought,0,Albania,ALB,01/01/1990
Dry mass movement,0,Albania,ALB,01/01/1990
Earthquake,0,Albania,ALB,01/01/1990
Extreme temperature,0,Albania,ALB,01/01/1990
Extreme weather,0,Albania,ALB,01/01/1990
Flood,1.5,Albania,ALB,01/01/1990
Fog,0,Albania,ALB,01/01/1990
Glacial lake outburst flood,0,Albania,ALB,01/01/1990
Volcanic activity,0,Albania,ALB,01/01/1990
Wet mass movement,0,Albania,ALB,01/01/1990
Wildfire,0,Albania,ALB,01/01/1990
Drought,0,Albania,ALB,01/01/2000
Dry mass movement,0,Albania,ALB,01/01/2000
Earthquake,0,Albania,ALB,01/01/2000
Extreme temperature,0.3,Albania,ALB,01/01/2000
Extreme weather,0.8,Albania,ALB,01/01/2000
Flood,0.4,Albania,ALB,01/01/2000
Fog,0,Albania,ALB,01/01/2000
Glacial lake outburst flood,0,Albania,ALB,01/01/2000
Volcanic activity,0,Albania,ALB,01/01/2000
Wet mass movement,0,Albania,ALB,01/01/2000
Wildfire,0,Albania,ALB,01/01/2000
Drought,0,Albania,ALB,01/01/2010
Dry mass movement,0,Albania,ALB,01/01/2010
Earthquake,5.1,Albania,ALB,01/01/2010
Extreme temperature,1.1,Albania,ALB,01/01/2010
Extreme weather,0,Albania,ALB,01/01/2010
Flood,0.4,Albania,ALB,01/01/2010
Fog,0,Albania,ALB,01/01/2010
Glacial lake outburst flood,0,Albania,ALB,01/01/2010
Volcanic activity,0,Albania,ALB,01/01/2010
Wet mass movement,0,Albania,ALB,01/01/2010
Wildfire,0,Albania,ALB,01/01/2010
Drought,0,Albania,ALB,01/01/2020
Dry mass movement,0,Albania,ALB,01/01/2020
Earthquake,0,Albania,ALB,01/01/2020
Extreme temperature,70.4,Albania,ALB,01/01/2020
Extreme weather,0,Albania,ALB,01/01/2020
Flood,0,Albania,ALB,01/01/2020
Fog,0,Albania,ALB,01/01/2020
Glacial lake outburst flood,0,Albania,ALB,01/01/2020
Volcanic activity,0,Albania,ALB,01/01/2020
Wet mass movement,0,Albania,ALB,01/01/2020
Wildfire,0,Albania,ALB,01/01/2020
Drought,0,Algeria,DZA,01/01/1900
Dry mass movement,0,Algeria,DZA,01/01/1900
Earthquake,0,Algeria,DZA,01/01/1900
Extreme temperature,0,Algeria,DZA,01/01/1900
Extreme weather,0,Algeria,DZA,01/01/1900
Flood,0,Algeria,DZA,01/01/1900
Fog,0,Algeria,DZA,01/01/1900
Glacial lake outburst flood,0,Algeria,DZA,01/01/1900
Volcanic activity,0,Algeria,DZA,01/01/1900
Wet mass movement,0,Algeria,DZA,01/01/1900
Wildfire,0,Algeria,DZA,01/01/1900
Drought,0,Algeria,DZA,01/01/1910
Dry mass movement,0,Algeria,DZA,01/01/1910
Earthquake,1.2,Algeria,DZA,01/01/1910
Extreme temperature,0,Algeria,DZA,01/01/1910
Extreme weather,0,Algeria,DZA,01/01/1910
Flood,0,Algeria,DZA,01/01/1910
Fog,0,Algeria,DZA,01/01/1910
Glacial lake outburst flood,0,Algeria,DZA,01/01/1910
Volcanic activity,0,Algeria,DZA,01/01/1910
Wet mass movement,0,Algeria,DZA,01/01/1910
Wildfire,0,Algeria,DZA,01/01/1910
Drought,0,Algeria,DZA,01/01/1920
Dry mass movement,0,Algeria,DZA,01/01/1920
Earthquake,0,Algeria,DZA,01/01/1920
Extreme temperature,0,Algeria,DZA,01/01/1920
Extreme weather,0,Algeria,DZA,01/01/1920
Flood,300,Algeria,DZA,01/01/1920
Fog,0,Algeria,DZA,01/01/1920
Glacial lake outburst flood,0,Algeria,DZA,01/01/1920
Volcanic activity,0,Algeria,DZA,01/01/1920
Wet mass movement,0,Algeria,DZA,01/01/1920
Wildfire,0,Algeria,DZA,01/01/1920
Drought,0,Algeria,DZA,01/01/1930
Dry mass movement,0,Algeria,DZA,01/01/1930
Earthquake,0,Algeria,DZA,01/01/1930
Extreme temperature,0,Algeria,DZA,01/01/1930
Extreme weather,0,Algeria,DZA,01/01/1930
Flood,0,Algeria,DZA,01/01/1930
Fog,0,Algeria,DZA,01/01/1930
Glacial lake outburst flood,0,Algeria,DZA,01/01/1930
Volcanic activity,0,Algeria,DZA,01/01/1930
Wet mass movement,0,Algeria,DZA,01/01/1930
Wildfire,0,Algeria,DZA,01/01/1930
Drought,0,Algeria,DZA,01/01/1940
Dry mass movement,0,Algeria,DZA,01/01/1940
Earthquake,27.6,Algeria,DZA,01/01/1940
Extreme temperature,0,Algeria,DZA,01/01/1940
Extreme weather,0,Algeria,DZA,01/01/1940
Flood,0,Algeria,DZA,01/01/1940
Fog,0,Algeria,DZA,01/01/1940
Glacial lake outburst flood,0,Algeria,DZA,01/01/1940
Volcanic activity,0,Algeria,DZA,01/01/1940
Wet mass movement,0,Algeria,DZA,01/01/1940
Wildfire,0,Algeria,DZA,01/01/1940
Drought,0,Algeria,DZA,01/01/1950
Dry mass movement,0,Algeria,DZA,01/01/1950
Earthquake,125,Algeria,DZA,01/01/1950
Extreme temperature,0,Algeria,DZA,01/01/1950
Extreme weather,0,Algeria,DZA,01/01/1950
Flood,2.5,Algeria,DZA,01/01/1950
Fog,0,Algeria,DZA,01/01/1950
Glacial lake outburst flood,0,Algeria,DZA,01/01/1950
Volcanic activity,0,Algeria,DZA,01/01/1950
Wet mass movement,0,Algeria,DZA,01/01/1950
Wildfire,0,Algeria,DZA,01/01/1950
Drought,0,Algeria,DZA,01/01/1960
Dry mass movement,0,Algeria,DZA,01/01/1960
Earthquake,6.9,Algeria,DZA,01/01/1960
Extreme temperature,0,Algeria,DZA,01/01/1960
Extreme weather,0,Algeria,DZA,01/01/1960
Flood,15.3,Algeria,DZA,01/01/1960
Fog,0,Algeria,DZA,01/01/1960
Glacial lake outburst flood,0,Algeria,DZA,01/01/1960
Volcanic activity,0,Algeria,DZA,01/01/1960
Wet mass movement,0,Algeria,DZA,01/01/1960
Wildfire,0,Algeria,DZA,01/01/1960
Drought,0,Algeria,DZA,01/01/1970
Dry mass movement,0,Algeria,DZA,01/01/1970
Earthquake,0,Algeria,DZA,01/01/1970
Extreme temperature,0,Algeria,DZA,01/01/1970
Extreme weather,0,Algeria,DZA,01/01/1970
Flood,3.2,Algeria,DZA,01/01/1970
Fog,0,Algeria,DZA,01/01/1970
Glacial lake outburst flood,0,Algeria,DZA,01/01/1970
Volcanic activity,0,Algeria,DZA,01/01/1970
Wet mass movement,0,Algeria,DZA,01/01/1970
Wildfire,0,Algeria,DZA,01/01/1970
Drought,0,Algeria,DZA,01/01/1980
Dry mass movement,0,Algeria,DZA,01/01/1980
Earthquake,268.6,Algeria,DZA,01/01/1980
Extreme temperature,0,Algeria,DZA,01/01/1980
Extreme weather,0,Algeria,DZA,01/01/1980
Flood,16,Algeria,DZA,01/01/1980
Fog,0,Algeria,DZA,01/01/1980
Glacial lake outburst flood,0,Algeria,DZA,01/01/1980
Volcanic activity,0,Algeria,DZA,01/01/1980
Wet mass movement,0,Algeria,DZA,01/01/1980
Wildfire,0,Algeria,DZA,01/01/1980
Drought,0,Algeria,DZA,01/01/1990
Dry mass movement,0,Algeria,DZA,01/01/1990
Earthquake,19.3,Algeria,DZA,01/01/1990
Extreme temperature,0,Algeria,DZA,01/01/1990
Extreme weather,0,Algeria,DZA,01/01/1990
Flood,10.3,Algeria,DZA,01/01/1990
Fog,0,Algeria,DZA,01/01/1990
Glacial lake outburst flood,0,Algeria,DZA,01/01/1990
Volcanic activity,0,Algeria,DZA,01/01/1990
Wet mass movement,1.5,Algeria,DZA,01/01/1990
Wildfire,2.2,Algeria,DZA,01/01/1990
Drought,0,Algeria,DZA,01/01/2000
Dry mass movement,0,Algeria,DZA,01/01/2000
Earthquake,227.9,Algeria,DZA,01/01/2000
Extreme temperature,4,Algeria,DZA,01/01/2000
Extreme weather,2.7,Algeria,DZA,01/01/2000
Flood,131.2,Algeria,DZA,01/01/2000
Fog,0,Algeria,DZA,01/01/2000
Glacial lake outburst flood,0,Algeria,DZA,01/01/2000
Volcanic activity,0,Algeria,DZA,01/01/2000
Wet mass movement,0,Algeria,DZA,01/01/2000
Wildfire,0.8,Algeria,DZA,01/01/2000
Drought,0,Algeria,DZA,01/01/2010
Dry mass movement,0,Algeria,DZA,01/01/2010
Earthquake,0.6,Algeria,DZA,01/01/2010
Extreme temperature,0.8,Algeria,DZA,01/01/2010
Extreme weather,0,Algeria,DZA,01/01/2010
Flood,9.7,Algeria,DZA,01/01/2010
Fog,0,Algeria,DZA,01/01/2010
Glacial lake outburst flood,0,Algeria,DZA,01/01/2010
Volcanic activity,0,Algeria,DZA,01/01/2010
Wet mass movement,0,Algeria,DZA,01/01/2010
Wildfire,0,Algeria,DZA,01/01/2010
Drought,0,Algeria,DZA,01/01/2020
Dry mass movement,0,Algeria,DZA,01/01/2020
Earthquake,0,Algeria,DZA,01/01/2020
Extreme temperature,0,Algeria,DZA,01/01/2020
Extreme weather,0,Algeria,DZA,01/01/2020
Flood,4.2,Algeria,DZA,01/01/2020
Fog,0,Algeria,DZA,01/01/2020
Glacial lake outburst flood,0,Algeria,DZA,01/01/2020
Volcanic activity,0,Algeria,DZA,01/01/2020
Wet mass movement,0,Algeria,DZA,01/01/2020
